Type,Size,Algorithm,Threshold,Time(ms)
AlmostSorted,18500,MergeSort,0,14.5
AlmostSorted,18500,MergeHybrid,5,8
AlmostSorted,18500,MergeHybrid,10,7
AlmostSorted,18500,MergeHybrid,20,6
AlmostSorted,18500,MergeHybrid,30,6
AlmostSorted,18500,MergeHybrid,50,5
AlmostSorted,19000,MergeSort,0,15
AlmostSorted,19000,MergeHybrid,5,8
AlmostSorted,19000,MergeHybrid,10,7
AlmostSorted,19000,MergeHybrid,20,6
AlmostSorted,19000,MergeHybrid,30,6
AlmostSorted,19000,MergeHybrid,50,5
AlmostSorted,19500,MergeSort,0,15
AlmostSorted,19500,MergeHybrid,5,9
AlmostSorted,19500,MergeHybrid,10,7
AlmostSorted,19500,MergeHybrid,20,6
AlmostSorted,19500,MergeHybrid,30,6
AlmostSorted,19500,MergeHybrid,50,5
AlmostSorted,20000,MergeSort,0,15
AlmostSorted,20000,MergeHybrid,5,9
AlmostSorted,20000,MergeHybrid,10,7
AlmostSorted,20000,MergeHybrid,20,6
AlmostSorted,20000,MergeHybrid,30,6
AlmostSorted,20000,MergeHybrid,50,5
